,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-11-02,778.200012,781.650024,763.450012,768.700012,768.700012,1872400
1,2016-11-03,767.25,769.950012,759.030029,762.130005,762.130005,1943200
2,2016-11-04,750.659973,770.3599849999999,750.560974,762.02002,762.02002,2134800
3,2016-11-07,774.5,785.1900019999999,772.549988,782.52002,782.52002,1585100
4,2016-11-08,783.400024,795.632996,780.1900019999999,790.51001,790.51001,1350800
5,2016-11-09,779.9400019999999,791.22699,771.669983,785.3099980000001,785.3099980000001,2607100
6,2016-11-10,791.169983,791.169983,752.179993,762.5599980000001,762.5599980000001,4745200
7,2016-11-11,756.539978,760.780029,750.380005,754.02002,754.02002,2431800
8,2016-11-14,755.599976,757.849976,727.539978,736.080017,736.080017,3631700
9,2016-11-15,746.969971,764.416016,746.969971,758.48999,758.48999,2384000
10,2016-11-16,755.200012,766.3599849999999,750.51001,764.47998,764.47998,1465200
11,2016-11-17,766.919983,772.700012,764.22998,771.22998,771.22998,1304000
12,2016-11-18,771.369995,775.0,760.0,760.539978,760.539978,1547100
13,2016-11-21,762.6099849999999,769.700012,760.599976,769.200012,769.200012,1330600
14,2016-11-22,772.630005,776.960022,767.0,768.27002,768.27002,1593100
15,2016-11-23,767.72998,768.28302,755.25,760.98999,760.98999,1477400
16,2016-11-25,764.26001,765.0,760.52002,761.679993,761.679993,587400
17,2016-11-28,760.0,779.530029,759.799988,768.23999,768.23999,2188200
18,2016-11-29,771.530029,778.5,768.23999,770.840027,770.840027,1616600
19,2016-11-30,770.070007,772.98999,754.830017,758.039978,758.039978,2392900
20,2016-12-01,757.4400019999999,759.849976,737.025024,747.919983,747.919983,3017900
21,2016-12-02,744.590027,754.0,743.099976,750.5,750.5,1452500
22,2016-12-05,757.710022,763.900024,752.900024,762.52002,762.52002,1394200
23,2016-12-06,764.72998,768.830017,757.340027,759.1099849999999,759.1099849999999,1690700
24,2016-12-07,761.0,771.3599849999999,755.799988,771.1900019999999,771.1900019999999,1761000
25,2016-12-08,772.47998,778.179993,767.22998,776.419983,776.419983,1488100
26,2016-12-09,780.0,789.429993,779.020996,789.289978,789.289978,1821900
27,2016-12-12,785.039978,791.25,784.35498,789.27002,789.27002,2104100
28,2016-12-13,793.900024,804.380005,793.340027,796.099976,796.099976,2145200
29,2016-12-14,797.400024,804.0,794.01001,797.070007,797.070007,1704200
30,2016-12-15,797.340027,803.0,792.919983,797.849976,797.849976,1626500
31,2016-12-16,800.400024,800.856018,790.289978,790.799988,790.799988,2428300
32,2016-12-19,790.219971,797.659973,786.27002,794.200012,794.200012,1232100
33,2016-12-20,796.76001,798.650024,793.27002,796.419983,796.419983,951000
34,2016-12-21,795.840027,796.676025,787.099976,794.5599980000001,794.5599980000001,1211300
35,2016-12-22,792.3599849999999,793.320007,788.580017,791.26001,791.26001,972200
36,2016-12-23,790.900024,792.73999,787.280029,789.909973,789.909973,623400
37,2016-12-27,790.679993,797.8599849999999,787.6569820000001,791.549988,791.549988,789100
38,2016-12-28,793.700012,794.22998,783.200012,785.049988,785.049988,1153800
39,2016-12-29,783.330017,785.929993,778.919983,782.789978,782.789978,742200
40,2016-12-30,782.75,782.780029,770.409973,771.820007,771.820007,1770000
41,2017-01-03,778.8099980000001,789.630005,775.799988,786.1400150000001,786.1400150000001,1657300
42,2017-01-04,788.3599849999999,791.340027,783.159973,786.900024,786.900024,1073000
43,2017-01-05,786.080017,794.47998,785.02002,794.02002,794.02002,1335200
44,2017-01-06,795.26001,807.900024,792.203979,806.150024,806.150024,1640200
45,2017-01-09,806.400024,809.966003,802.830017,806.650024,806.650024,1272400
46,2017-01-10,807.8599849999999,809.130005,803.51001,804.789978,804.789978,1176800
47,2017-01-11,805.0,808.150024,801.369995,807.909973,807.909973,1065900
48,2017-01-12,807.1400150000001,807.3900150000001,799.169983,806.3599849999999,806.3599849999999,1353100
49,2017-01-13,807.47998,811.223999,806.6900019999999,807.880005,807.880005,1099200
50,2017-01-17,807.080017,807.1400150000001,800.369995,804.6099849999999,804.6099849999999,1355800
51,2017-01-18,805.8099980000001,806.205017,800.98999,806.070007,806.070007,1294400
52,2017-01-19,805.119995,809.47998,801.799988,802.174988,802.174988,919300
53,2017-01-20,806.909973,806.909973,801.6900019999999,805.02002,805.02002,1670000
54,2017-01-23,807.25,820.869995,803.73999,819.3099980000001,819.3099980000001,1963600
55,2017-01-24,822.299988,825.900024,817.820984,823.869995,823.869995,1474000
56,2017-01-25,829.619995,835.77002,825.0599980000001,835.669983,835.669983,1494500
57,2017-01-26,837.8099980000001,838.0,827.01001,832.150024,832.150024,2973900
58,2017-01-27,834.710022,841.9500119999999,820.4400019999999,823.3099980000001,823.3099980000001,2965800
59,2017-01-30,814.659973,815.840027,799.799988,802.320007,802.320007,3246600
60,2017-01-31,796.8599849999999,801.25,790.52002,796.789978,796.789978,2160600
61,2017-02-01,799.679993,801.1900019999999,791.1900019999999,795.695007,795.695007,2029700
62,2017-02-02,793.799988,802.700012,792.0,798.530029,798.530029,1532100
63,2017-02-03,802.98999,806.0,800.369995,801.48999,801.48999,1463400
64,2017-02-06,799.700012,801.669983,795.25,801.340027,801.340027,1184500
65,2017-02-07,803.98999,810.5,801.780029,806.969971,806.969971,1241200
66,2017-02-08,807.0,811.840027,803.1900019999999,808.380005,808.380005,1155300
67,2017-02-09,809.51001,810.659973,804.539978,809.5599980000001,809.5599980000001,989700
68,2017-02-10,811.700012,815.25,809.780029,813.669983,813.669983,1135000
69,2017-02-13,816.0,820.958984,815.48999,819.23999,819.23999,1213300
70,2017-02-14,819.0,823.0,816.0,820.450012,820.450012,1053600
71,2017-02-15,819.3599849999999,823.0,818.469971,818.97998,818.97998,1313600
72,2017-02-16,819.929993,824.400024,818.97998,824.159973,824.159973,1287600
73,2017-02-17,823.02002,828.070007,821.655029,828.070007,828.070007,1611000
74,2017-02-21,828.659973,833.450012,828.349976,831.659973,831.659973,1262300
